Date,Open,High,Low,Close,Volume
2015-01-01,457.02860838444803,459.23255088546614,451.2798242728806,453.6228205328258,7455945
2015-01-02,448.22601474315354,454.0961868168005,440.89469365423565,452.9541965910014,7648399
2015-01-05,457.0544008192784,462.20951952251295,448.3480748391184,457.626567730205,19352205
2015-01-06,466.26535954804194,468.9128972189791,464.679610937139,468.3558275569226,11225551
2015-01-07,461.3007432318526,468.21094336150577,452.7369419056337,466.99183458954985,4508648
2015-01-08,465.43818631653636,473.2426323525256,458.3109686813867,465.6319289842399,21962371
2015-01-09,482.96133009212764,490.52353548473604,473.70336102598725,476.94128678505047,23068700
2015-01-12,476.0571220582108,491.5938105991432,470.2394711466176,482.7177711658074,19405054
2015-01-13,476.6075366680221,487.8744725518904,475.0108849430965,479.60804739053754,14458807
2015-01-14,479.55431210765727,490.5627278617358,472.6782782790778,483.79905466541766,10264197
2015-01-15,476.94992461785665,481.68504264590206,467.5185048455817,480.72631847274846,19903744
2015-01-16,483.50916766564416,491.1844520234375,470.83188937185656,477.6564260162764,14648958
2015-01-19,479.21714651430403,487.86218297222933,474.89624961930593,479.67664237989135,7572466
2015-01-20,465.7267762094626,473.74238996724904,459.73884747024334,466.1981107099808,7697767
2015-01-21,457.96781660164476,462.85025805641317,449.9452527248338,454.41552805669386,13101118
2015-01-22,446.18227195812705,453.3014464998567,444.6899547838291,450.8554946057319,18311096
2015-01-23,444.10666968747444,451.85632018973223,442.924109566628,444.27640076683855,11223362
2015-01-26,445.69902056864845,453.25457453857354,439.03738337942247,446.6371567154388,23971008
2015-01-27,442.1033899318553,450.78385228009347,435.8760541784121,440.8217796396687,9246656
2015-01-28,438.2181453132819,439.9526825657197,427.6174472775732,431.7476592422378,13604582
2015-01-29,445.0674032125894,447.42075366534647,440.6301968851771,441.4985642165803,18422892
2015-01-30,438.9192699767592,442.4802450065485,438.46881988678587,440.26826466762617,4637023
2015-02-02,445.31169797399366,452.46262703496376,434.1311964918086,440.9783835088378,10837039
2015-02-03,427.5528944339715,433.7840333135408,424.90746116088576,431.8187232579897,12117397
2015-02-04,422.5150772073148,429.5230228683573,417.0995283086467,428.5516946959219,10787933
2015-02-05,425.71349006705,438.10055886734267,417.264803872806,429.5218666697428,7482165
2015-02-06,420.34179408946426,422.9854460697713,412.00885342340564,422.3639261412549,17473155
2015-02-09,425.1324677323385,432.304298200699,420.2166617639569,424.9975638480191,11700566
2015-02-10,422.8790564913872,426.2375492672139,416.90516290677846,421.4235126868026,13131318
2015-02-11,425.0040360700112,432.225149483185,411.6158527066825,419.83246772441464,15488555
2015-02-12,416.41819291207713,421.22273829633014,413.40255127072686,416.29512762717377,24182283
2015-02-13,428.12770398922225,435.890084547586,421.940551442293,428.1113204520678,22583924
2015-02-16,422.5028344031296,436.2465493653885,418.54734973993925,428.2815125237641,16576563
2015-02-17,415.8590698446516,422.2381592745747,409.91954703919515,421.74351088428614,7005404
2015-02-18,427.85576790514705,428.8966688279592,420.0126957734417,427.2001016771728,20165195
2015-02-19,418.85498447693595,422.04900513863095,413.71827303664196,419.63325376718586,3407296
2015-02-20,425.4856060454132,431.32198908723086,414.6345669332931,421.19972536892647,21504137
2015-02-23,404.9070705656187,416.38429455475074,400.9232783954058,409.07125743427,18626577
2015-02-24,395.4498903425747,405.07378188260674,389.0348002251997,401.1668591317876,11600302
2015-02-25,401.97667450877634,407.63765435753606,397.8201205506487,402.5921723024429,7444929
2015-02-26,404.0855442947969,409.1592534175633,397.2121266828817,407.293240575021,10859079
2015-02-27,403.06395508049883,415.2422018136662,400.14114466201113,408.5845736580305,11274965
2015-03-02,410.8708407775716,418.83320299232116,405.8047813968375,408.12094283991706,17287833
2015-03-03,401.78562883386263,409.00367581674845,394.59265777691246,406.5225145435738,9816584
2015-03-04,399.0431654087946,403.19388994121226,393.3309335492492,397.7506408923179,3371028
2015-03-05,391.1085284834282,394.73237372717347,383.8130099182903,393.694513848379,19233651
